,VARIETY,TEST_ID,CHECK,RM,VAR_YIELD,CHECK_YIELD,RATIO,BAGSOLD
72,V155853,09YT00078832102,V103066,2.7,57.3563708,51.7542368,1.108244935,761392
73,V155853,09YT00078834901,V000023,2.7,70.9877245,51.6265033,1.375024841,761392
74,V155853,09YT00078834901,V000082,2.7,70.9877245,61.3083778,1.157879674,761392
75,V155853,09YT00078834901,V000124,2.7,70.9877245,61.3083778,1.157879674,761392
76,V155853,09YT00078834901,V103066,2.7,70.9877245,65.6096818,1.08197026,761392
77,V155853,09YT00078834902,V000023,2.7,69.9135138,40.8729458,1.710508319,761392
78,V155853,09YT00078834902,V000082,2.7,69.9135138,63.4590298,1.101711041,761392
79,V155853,09YT00078834902,V000124,2.7,69.9135138,65.6096818,1.065597514,761392
80,V155853,09YT00078834902,V103066,2.7,69.9135138,63.4590298,1.101711041,761392
81,V155842,09YT00084822901,V000023,2.4,59.7563931,52.4971433,1.138278949,634171
82,V155842,09YT00084822901,V000051,2.4,59.7563931,54.7304727,1.091830385,634171
83,V155842,09YT00084822901,V000124,2.4,59.7563931,50.70932,1.17841046,634171
84,V155842,09YT00084822901,V103137,2.4,59.7563931,55.7352404,1.0721474,634171
85,V155842,09YT00084822902,V000023,2.4,50.039574,62.5488355,0.800008083,634171
86,V155842,09YT00084822902,V000051,2.4,50.039574,53.2776711,0.939222248,634171
87,V155842,09YT00084822902,V000124,2.4,50.039574,47.1363499,1.061592043,634171
88,V155842,09YT00084822902,V103137,2.4,50.039574,60.7610121,0.823547408,634171
89,V155842,09YT00084832101,V000023,2.4,59.9492574,62.8532249,0.953797637,634171
90,V155842,09YT00084832101,V000051,2.4,59.9492574,58.3922168,1.026665208,634171
91,V155842,09YT00084832101,V000124,2.4,59.9492574,53.0004937,1.131107528,634171
92,V155842,09YT00084832101,V103137,2.4,59.9492574,58.8082802,1.019401642,634171
93,V155842,09YT00084832102,V000023,2.4,57.5621719,53.8281595,1.069369126,634171
94,V155842,09YT00084832102,V000051,2.4,57.5621719,54.3472721,1.059154759,634171
95,V155842,09YT00084832102,V000124,2.4,57.5621719,54.1414709,1.063180792,634171
96,V155842,09YT00084832102,V103137,2.4,57.5621719,53.1032456,1.083967114,634171
97,V155842,09YT00084832141,V000023,2.4,68.8691918,76.1290364,0.90463764,634171
98,V155842,09YT00084832141,V000051,2.4,68.8691918,60.2603383,1.142861022,634171
99,V155842,09YT00084832141,V000124,2.4,68.8691918,63.3699584,1.086779817,634171
100,V155842,09YT00084832141,V103137,2.4,68.8691918,63.0590261,1.092138526,634171
101,V155842,09YT00084832142,V000023,2.4,70.0079384,67.0010703,1.044877911,634171
102,V155842,09YT00084832142,V000051,2.4,70.0079384,70.0079384,1,634171
103,V155842,09YT00084832142,V000124,2.4,70.0079384,66.690138,1.049749491,634171
104,V155842,09YT00084832142,V103137,2.4,70.0079384,67.5201829,1.03684462,634171
105,V155820,09YT00084922901,V000023,2.8,55.7352404,55.0653457,1.01216545,1061421
106,V155820,09YT00084922901,V000051,2.8,55.7352404,61.8790895,0.900712031,1061421
107,V155820,09YT00084922901,V000124,2.8,55.7352404,53.0561077,1.050496216,1061421
108,V155820,09YT00084922901,V103137,2.8,55.7352404,42.8911059,1.299459159,1061421
109,V155820,09YT00084922902,V000023,2.8,55.0653457,55.0653457,1,1061421
110,V155820,09YT00084922902,V000051,2.8,55.0653457,59.7563931,0.921497146,1061421
111,V155820,09YT00084922902,V000124,2.8,55.0653457,50.2636653,1.09552985,1061421
112,V155820,09YT00084922902,V103137,2.8,55.0653457,53.949945,1.020674733,1061421
113,V155820,09YT00084932101,V000023,2.8,62.7480939,56.1101138,1.118302738,1061421
114,V155820,09YT00084932101,V000051,2.8,62.7480939,61.2960357,1.023689268,1061421
115,V155820,09YT00084932101,V000124,2.8,62.7480939,55.7991815,1.124534307,1061421
116,V155820,09YT00084932101,V103137,2.8,62.7480939,53.0004937,1.183915272,1061421
117,V155820,09YT00084932102,V000023,2.8,62.9561255,55.9043126,1.126140768,1061421
118,V155820,09YT00084932102,V000051,2.8,62.9561255,62.7480939,1.003315345,1061421
119,V155820,09YT00084932102,V000124,2.8,62.9561255,52.2733494,1.204363719,1061421
120,V155820,09YT00084932102,V103137,2.8,62.9561255,55.7991815,1.128262527,1061421
121,V155820,09YT00084932141,V000023,2.8,70.5270511,66.690138,1.057533441,1061421
122,V155820,09YT00084932141,V000051,2.8,70.5270511,64.7191159,1.089740645,1061421
123,V155820,09YT00084932141,V000124,2.8,70.5270511,68.0391469,1.036565776,1061421
124,V155820,09YT00084932141,V103137,2.8,70.5270511,65.0300482,1.084530199,1061421
125,V155820,09YT00084932142,V000023,2.8,67.0010703,67.8311152,0.987763066,1061421
126,V155820,09YT00084932142,V000051,2.8,67.0010703,61.7122478,1.085701343,1061421
127,V155820,09YT00084932142,V000124,2.8,67.0010703,66.1710254,1.012543933,1061421
128,V155820,09YT00084932142,V103137,2.8,67.0010703,66.690138,1.004662343,1061421
129,V155820,09YT00084933101,V000023,2.8,63.6667641,63.6667641,1,1061421
130,V155820,09YT00084933101,V000051,2.8,63.6667641,67.0181708,0.949992567,1061421
131,V155820,09YT00084933101,V000124,2.8,63.6667641,62.5488355,1.017872892,1061421
132,V155820,09YT00084933101,V103137,2.8,63.6667641,67.0181708,0.949992567,1061421
133,V155820,09YT00084933102,V000023,2.8,64.7823135,55.84855,1.159964108,1061421
134,V155820,09YT00084933102,V000051,2.8,64.7823135,62.5488355,1.035707747,1061421
135,V155820,09YT00084933102,V000124,2.8,64.7823135,55.84855,1.159964108,1061421
136,V155820,09YT00084933102,V103137,2.8,64.7823135,53.6125441,1.208342461,1061421
137,V155843,09YT00085232101,V000051,3,59.1193612,51.6513362,1.144585321,871341
138,V155843,09YT00085232101,V000092,3,59.1193612,51.3404039,1.151517259,871341
139,V155843,09YT00085232101,V103137,3,59.1193612,56.6292264,1.043972608,871341
140,V155843,09YT00085232101,V103142,3,59.1193612,54.1414709,1.09194228,871341
141,V155843,09YT00085232101,V111429,3,59.1193612,59.9492574,0.986156689,871341
142,V155843,09YT00085232102,V000051,3,61.6071167,56.1101138,1.09796813,871341
143,V155843,09YT00085232102,V000092,3,61.6071167,54.6582044,1.127133929,871341
144,V155843,09YT00085232102,V103137,3,61.6071167,57.4592713,1.072187574,871341
145,V155843,09YT00085232102,V103142,3,61.6071167,56.9401587,1.081962504,871341
146,V155843,09YT00085232102,V111429,3,61.6071167,59.1193612,1.042080216,871341
147,V155843,09YT00085232141,V000051,3,65.6520614,60.052158,1.093250661,871341
148,V155843,09YT00085232141,V000092,3,65.6520614,70.6321822,0.929492186,871341
149,V155843,09YT00085232141,V103137,3,65.6520614,62.8532249,1.04452972,871341
150,V155843,09YT00085232141,V103142,3,65.6520614,60.052158,1.093250661,871341
151,V155843,09YT00085232141,V111429,3,65.6520614,64.824247,1.012770135,871341
152,V155843,09YT00085232142,V000051,3,68.4531284,67.0010703,1.021672163,871341
153,V155843,09YT00085232142,V103137,3,68.4531284,66.690138,1.026435549,871341
154,V155843,09YT00085232142,V103142,3,68.4531284,67.3120025,1.016952785,871341
155,V155843,09YT00085232142,V111429,3,68.4531284,63.3699584,1.080214192,871341
156,V155843,09YT00085233101,V000051,3,73.7184563,68.1337202,1.081967286,871341
157,V155843,09YT00085233101,V000092,3,73.7184563,69.2516489,1.064501098,871341
158,V155843,09YT00085233101,V103137,3,73.7184563,70.3670496,1.047627501,871341
159,V155843,09YT00085233101,V103142,3,73.7184563,53.949945,1.366423197,871341
160,V155843,09YT00085233101,V111429,3,73.7184563,58.0818794,1.269216097,871341
161,V155843,09YT00085233102,V000051,3,65.9002422,61.4332861,1.072712309,871341
162,V155843,09YT00085233102,V000092,3,65.9002422,75.9519343,0.867657194,871341
163,V155843,09YT00085233102,V103137,3,65.9002422,59.1974288,1.113228117,871341
164,V155843,09YT00085233102,V103142,3,65.9002422,67.0181708,0.983319022,871341
165,V155843,09YT00085233102,V111429,3,65.9002422,64.7823135,1.017256696,871341
166,V155918,09YT00085532101,V000018,3.6,56.6292264,49.6803141,1.139872552,408657
167,V155918,09YT00085532101,V000092,3.6,56.6292264,51.8593679,1.091976796,408657
168,V155918,09YT00085532101,V103138,3.6,56.6292264,57.1481904,0.990918978,408657
169,V155918,09YT00085532101,V103142,3.6,56.6292264,51.6513362,1.096374858,408657
170,V155918,09YT00085532102,V000018,3.6,60.7793023,56.6292264,1.073285054,408657
171,V155918,09YT00085532102,V000092,3.6,60.7793023,62.1260806,0.978321853,408657
172,V155918,09YT00085532102,V103142,3.6,60.7793023,39.4136014,1.542089536,408657
173,V155918,09YT00085532141,V000018,3.6,67.5201829,61.1931351,1.103394732,408657
174,V155918,09YT00085532141,V000092,3.6,67.5201829,63.9942021,1.055098441,408657
175,V155918,09YT00085532141,V103138,3.6,67.5201829,62.8532249,1.074251687,408657
176,V155918,09YT00085532141,V103142,3.6,67.5201829,69.491205,0.97163638,408657
177,V155918,09YT00085532142,V000018,3.6,68.6611601,56.7343575,1.210221868,408657
178,V155918,09YT00085532142,V000092,3.6,68.6611601,69.2830246,0.991024288,408657
179,V155918,09YT00085532142,V103138,3.6,68.6611601,61.7122478,1.112601834,408657
180,V155918,09YT00085532142,V103142,3.6,68.6611601,57.8731042,1.1864088,408657
181,V155918,09YT00085533101,V000018,3.6,55.84855,62.5488355,0.892879133,408657
182,V155918,09YT00085533101,V000092,3.6,55.84855,63.6667641,0.877201014,408657
183,V155918,09YT00085533101,V103138,3.6,55.84855,59.1974288,0.943428644,408657
184,V155918,09YT00085533101,V103142,3.6,55.84855,61.4332861,0.909092669,408657
185,V155918,09YT00085533102,V000018,3.6,81.5368191,67.0181708,1.21663749,408657
186,V155918,09YT00085533102,V000092,3.6,81.5368191,61.4332861,1.3272417,408657
187,V155918,09YT00085533102,V103138,3.6,81.5368191,54.7304727,1.489788322,408657
188,V155918,09YT00085533102,V103142,3.6,81.5368191,60.3153574,1.351841763,408657
189,V148493,10YT00133511101,V000077,2.1,51.5698485,53.4906098,0.964091617,61161
190,V148493,10YT00133511101,V000123,2.1,51.5698485,58.7230749,0.878187128,61161
191,V148493,10YT00133511101,V000157,2.1,51.5698485,56.6940598,0.909616434,61161
192,V148493,10YT00133511101,V000172,2.1,51.5698485,55.0912195,0.936081085,61161
193,V148493,10YT00133511101,V103068,2.1,51.5698485,57.7603894,0.892823768,61161
194,V148493,10YT00133511101,V155207,2.1,51.5698485,55.4112225,0.930675162,61161
195,V148493,10YT00133511102,V000077,2.1,55.6254996,59.3633783,0.937033929,61161
196,V148493,10YT00133511102,V000079,2.1,55.6254996,59.68353,0.932007534,61161
197,V148493,10YT00133511102,V000157,2.1,55.6254996,58.0805411,0.957730396,61161
198,V148493,10YT00133511102,V000172,2.1,55.6254996,56.1597797,0.990486428,61161
199,V148493,10YT00133511102,V103068,2.1,55.6254996,55.4112225,1.003867034,61161
200,V148493,10YT00133512401,V000122,2.1,46.0817676,49.3096043,0.934539392,61161
201,V148493,10YT00133512401,V000172,2.1,46.0817676,54.7538186,0.841617421,61161
202,V148493,10YT00133512401,V103068,2.1,46.0817676,47.998068,0.960075468,61161
203,V148493,10YT00133512401,V103272,2.1,46.0817676,47.7956869,0.964140712,61161
204,V148493,10YT00133512401,V130307,2.1,46.0817676,54.451511,0.84628997,61161
205,V148493,10YT00133512401,V155207,2.1,46.0817676,42.049165,1.095902085,61161
206,V148493,10YT00133512501,V000077,2.1,50.4189084,53.2422804,0.946971242,61161
207,V148493,10YT00133512501,V000079,2.1,50.4189084,61.7120991,0.817002,61161
208,V148493,10YT00133512501,V000122,2.1,50.4189084,49.3096043,1.022496715,61161
209,V148493,10YT00133512501,V000123,2.1,50.4189084,61.005178,0.826469327,61161
210,V148493,10YT00133512501,V000157,2.1,50.4189084,48.8049156,1.033070292,61161
211,V148493,10YT00133512501,V000172,2.1,50.4189084,62.3167144,0.809075204,61161
212,V148493,10YT00133512501,V103068,2.1,50.4189084,52.939824,0.952381489,61161
213,V148493,10YT00133512501,V103272,2.1,50.4189084,50.9213666,0.990132665,61161
214,V148493,10YT00133512501,V130307,2.1,50.4189084,56.0655037,0.899285747,61161
215,V148493,10YT00133512501,V155207,2.1,50.4189084,52.7375917,0.956033576,61161
216,V148493,10YT00133512502,V000077,2.1,47.7956869,54.7538186,0.8729197,61161
217,V148493,10YT00133512502,V000079,2.1,47.7956869,51.6282877,0.925765487,61161
218,V148493,10YT00133512502,V000122,2.1,47.7956869,49.3096043,0.969297718,61161
219,V148493,10YT00133512502,V000123,2.1,47.7956869,52.7375917,0.906292558,61161
220,V148493,10YT00133512502,V000157,2.1,47.7956869,54.2492786,0.881038202,61161
221,V148493,10YT00133512502,V000172,2.1,47.7956869,55.560815,0.860240925,61161
222,V148493,10YT00133512502,V103068,2.1,47.7956869,56.3678114,0.847925185,61161
223,V148493,10YT00133512502,V103272,2.1,47.7956869,51.9305953,0.920376256,61161
224,V148493,10YT00133512502,V130307,2.1,47.7956869,60.5027198,0.78997584,61161
225,V148493,10YT00133512502,V155207,2.1,47.7956869,43.3584708,1.102337929,61161
226,V148493,10YT00133512601,V000077,2.1,58.9349728,60.6438363,0.971821316,61161
227,V148493,10YT00133512601,V000079,2.1,58.9349728,75.8048698,0.777456289,61161
228,V148493,10YT00133512601,V000122,2.1,58.9349728,59.8976584,0.983927826,61161
229,V148493,10YT00133512601,V000123,2.1,58.9349728,73.7758546,0.798838226,61161
230,V148493,10YT00133512601,V000157,2.1,58.9349728,73.3498283,0.803477993,61161
231,V148493,10YT00133512601,V000172,2.1,58.9349728,76.1248727,0.774188129,61161
232,V148493,10YT00133512601,V103272,2.1,58.9349728,75.8048698,0.777456289,61161
233,V148493,10YT00133512601,V155207,2.1,58.9349728,85.4131377,0.68999892,61161
234,V148493,10YT00133512801,V000077,2.1,57.4402377,60.8579647,0.943840925,61161
235,V148493,10YT00133512801,V000123,2.1,57.4402377,61.6041427,0.932408685,61161
236,V148493,10YT00133512801,V000172,2.1,57.4402377,62.0325482,0.92596934,61161
237,V148493,10YT00133512801,V130307,2.1,57.4402377,60.7497109,0.945522816,61161
238,V148493,10YT00133512801,V155207,2.1,57.4402377,66.1964531,0.867723798,61161
239,V148493,10YT00133514102,V000077,2.1,63.1256438,52.0321576,1.213204424,61161
240,V148493,10YT00133514102,V000079,2.1,63.1256438,66.2513235,0.952820872,61161
241,V148493,10YT00133514102,V000122,2.1,63.1256438,63.0255686,1.001587851,61161
242,V148493,10YT00133514102,V000123,2.1,63.1256438,58.5882038,1.077446307,61161
243,V148493,10YT00133514102,V000157,2.1,63.1256438,65.8489406,0.958643271,61161
244,V148493,10YT00133514102,V000172,2.1,63.1256438,58.6882791,1.075609044,61161
245,V148493,10YT00133514102,V103068,2.1,63.1256438,55.0579107,1.14653177,61161
246,V148493,10YT00133514102,V130307,2.1,63.1256438,67.0583199,0.94135439,61161
247,V148493,10YT00133514102,V155207,2.1,63.1256438,56.1672147,1.123887737,61161
248,V148493,10YT00133521102,V000077,2.1,61.9242944,54.6651933,1.132792014,61161
249,V148493,10YT00133521102,V000157,2.1,61.9242944,62.7787261,0.986389789,61161
250,V148493,10YT00133521102,V000172,2.1,61.9242944,59.1491012,1.046918603,61161
251,V148493,10YT00133521102,V103068,2.1,61.9242944,59.4692529,1.041282535,61161
252,V148493,10YT00133521102,V130307,2.1,61.9242944,63.3130062,0.978065932,61161
253,V148493,10YT00133521102,V155207,2.1,61.9242944,49.3267049,1.255390858,61161
254,V148493,10YT00133521201,V000122,2.1,64.4474405,53.949945,1.194578428,61161
255,V148493,10YT00133521201,V000157,2.1,64.4474405,50.5985383,1.273701626,61161
256,V148493,10YT00133521201,V000172,2.1,64.4474405,54.1715084,1.18969256,61161
257,V148493,10YT00133521201,V103068,2.1,64.4474405,53.6125441,1.202096293,61161
258,V148493,10YT00133521201,V103272,2.1,64.4474405,56.9639507,1.13137238,61161
259,V148493,10YT00133521201,V130307,2.1,64.4474405,65.6761509,0.981291376,61161
260,V148493,10YT00133521201,V155207,2.1,64.4474405,54.5063814,1.182383399,61161
261,V148493,10YT00133521202,V000122,2.1,63.2185815,63.5534545,0.994730845,61161
262,V148493,10YT00133521202,V000123,2.1,63.2185815,55.0653457,1.148064735,61161
263,V148493,10YT00133521202,V000157,2.1,63.2185815,55.0653457,1.148064735,61161
264,V148493,10YT00133521202,V000172,2.1,63.2185815,58.0818794,1.088438979,61161
265,V148493,10YT00133521202,V103272,2.1,63.2185815,65.9002422,0.959307271,61161
266,V148493,10YT00133522202,V000077,2.1,52.8320163,54.619691,0.967270509,61161
267,V148493,10YT00133522202,V000079,2.1,52.8320163,58.7517741,0.899241208,61161
268,V148493,10YT00133522202,V000122,2.1,52.8320163,42.6670146,1.238240285,61161
269,V148493,10YT00133522202,V000157,2.1,52.8320163,43.2259789,1.222228337,61161
270,V148493,10YT00133522202,V103068,2.1,52.8320163,52.8320163,1,61161
271,V148493,10YT00133522202,V103272,2.1,52.8320163,51.044193,1.035025009,61161
272,V148493,10YT00133522202,V155207,2.1,52.8320163,50.1503557,1.053472414,61161
273,V148493,10YT00133522302,V000077,2.1,46.5773856,48.1409689,0.967520735,61161
274,V148493,10YT00133522302,V000079,2.1,46.5773856,46.0184213,1.012146534,61161
275,V148493,10YT00133522302,V000123,2.1,46.5773856,52.607925,0.885368233,61161
276,V148493,10YT00133522302,V000157,2.1,46.5773856,49.5937706,0.939178148,61161
277,V148493,10YT00133522302,V000172,2.1,46.5773856,57.6336968,0.80816238,61161
278,V148493,10YT00133522302,V103068,2.1,46.5773856,48.1409689,0.967520735,61161
279,V148493,10YT00133522302,V103272,2.1,46.5773856,50.8201017,0.916515002,61161
280,V148493,10YT00133522302,V130307,2.1,46.5773856,58.1928098,0.800397605,61161
281,V148493,10YT00133522302,V155207,2.1,46.5773856,52.607925,0.885368233,61161
282,V148493,10YT00133522501,V000077,2.1,37.8651855,44.4546892,0.851770335,61161
283,V148493,10YT00133522501,V000172,2.1,37.8651855,39.9877331,0.946920032,61161
284,V148493,10YT00133522501,V103068,2.1,37.8651855,48.0276593,0.788403725,61161
285,V148493,10YT00133522501,V103272,2.1,37.8651855,40.5443182,0.933920884,61161
286,V148493,10YT00133522501,V155207,2.1,37.8651855,28.7048027,1.319123698,61161
287,V148493,10YT00133522602,V000077,2.1,48.0276593,63.4426728,0.757024526,61161
288,V148493,10YT00133522602,V000079,2.1,48.0276593,60.2045757,0.797741015,61161
289,V148493,10YT00133522602,V000122,2.1,48.0276593,53.3909807,0.899546303,61161
290,V148493,10YT00133522602,V000172,2.1,48.0276593,57.5229151,0.8349309,61161
291,V148493,10YT00133522602,V103272,2.1,48.0276593,53.949945,0.890226288,61161
292,V148493,10YT00133522602,V130307,2.1,48.0276593,53.3909807,0.899546303,61161
293,V148493,10YT00133522602,V155207,2.1,48.0276593,49.8154827,0.96411109,61161
294,V148493,10YT00133522701,V000122,2.1,43.6716336,34.4029971,1.269413635,61161
295,V148493,10YT00133522701,V103272,2.1,43.6716336,42.4453025,1.028892033,61161
296,V148493,10YT00133522702,V000077,2.1,51.1575026,31.4972451,1.624189749,61161
297,V148493,10YT00133522702,V000122,2.1,51.1575026,50.8201017,1.006639123,61161
298,V148493,10YT00133522702,V000172,2.1,51.1575026,48.1409689,1.062660428,61161
299,V148493,10YT00133522702,V103272,2.1,51.1575026,46.0184213,1.111674437,61161
300,V148493,10YT00133522702,V130307,2.1,51.1575026,43.6716336,1.171412617,61161
301,V148493,10YT00133522801,V000079,2.1,51.8593679,51.3404039,1.010108296,61161
302,V148493,10YT00133522801,V000122,2.1,51.8593679,59.9492574,0.865054383,61161
303,V148493,10YT00133522801,V000123,2.1,51.8593679,47.1901794,1.098944072,61161
304,V148493,10YT00133522801,V000157,2.1,51.8593679,65.5491608,0.791152278,61161
305,V148493,10YT00133522801,V000172,2.1,51.8593679,47.6063915,1.089336248,61161
306,V148493,10YT00133522801,V103272,2.1,51.8593679,64.2000033,0.807778275,61161
307,V148493,10YT00133522801,V130307,2.1,51.8593679,51.5484356,1.006031847,61161
308,V148493,10YT00133522801,V155207,2.1,51.8593679,45.3244371,1.144181179,61161
309,V148493,10YT00133522802,V000077,2.1,52.37625,45.0135048,1.163567472,61161
310,V148493,10YT00133522802,V000079,2.1,52.37625,60.6741712,0.863237997,61161
311,V148493,10YT00133522802,V000122,2.1,52.37625,47.5034909,1.102576863,61161
312,V148493,10YT00133522802,V000157,2.1,52.37625,51.1322236,1.024329597,61161
313,V148493,10YT00133522802,V000172,2.1,52.37625,53.9332905,0.971130252,61161
314,V148493,10YT00133522802,V103272,2.1,52.37625,44.5972928,1.174426668,61161
315,V148493,10YT00133522802,V130307,2.1,52.37625,59.222113,0.884403601,61161
316,V148493,10YT00133522802,V155207,2.1,52.37625,60.1550585,0.870687375,61161
317,V148493,10YT00133523011,V000077,2.1,49.5524319,54.1636273,0.914865462,61161
318,V148493,10YT00133523011,V000079,2.1,49.5524319,64.5344302,0.767844881,61161
319,V148493,10YT00133523011,V000123,2.1,49.5524319,61.0767028,0.811314783,61161
320,V148493,10YT00133523011,V000157,2.1,49.5524319,57.6213546,0.859966452,61161
321,V148493,10YT00133523011,V000172,2.1,49.5524319,49.5524319,1,61161
322,V148493,10YT00133523011,V103068,2.1,49.5524319,49.5524319,1,61161
323,V148493,10YT00133523011,V103272,2.1,49.5524319,58.7722947,0.843125696,61161
324,V148493,10YT00133523012,V000077,2.1,53.0101593,59.9257627,0.884597157,61161
325,V148493,10YT00133523012,V000122,2.1,53.0101593,55.3145674,0.958339942,61161
326,V148493,10YT00133523012,V000172,2.1,53.0101593,48.4014918,1.095217468,61161
327,V148493,10YT00133523012,V103068,2.1,53.0101593,55.3145674,0.958339942,61161
